placement_id,company_name,topic,url,safety_decision,safety_confidence,risk_categories,matched_signals,safety_rationale,llm_safety_decision,llm_safety_confidence,llm_risk_categories,llm_safety_rationale,decision_match,rules_signal_explanations
51,Moonbucks Coffee,Flight incidents / near-misses,https://www.thesun.ie/travel/16589097/ryanair-flight-cork-avoids-crash-plane-spain/,review,high,aviation_incident,topic:near-miss->aviation_incident,Review for Moonbucks Coffee: detected aviation_incident from enriched title/topic evidence. Signals: topic:near-miss->aviation_incident.,review,high,aviation_incident,"The placement is about a Ryanair flight narrowly avoiding a crash, which falls under the aviation_incident category. Since Moonbucks Coffee's policy marks aviation incidents as review content, this placement should be reviewed to ensure appropriateness despite it not being outright unsafe. There is sufficient title and topic evidence to categorize it as aviation_incident.",True,"matched ""near-miss"" in topic, triggering aviation_incident"
52,Jet3 Holidays,Flight incidents / near-misses,https://www.newindianexpress.com/nation/2026/Feb/27/aaib-misses-one-month-deadline-for-releasing-baramati-air-crash-preliminary-report,unsafe,high,aviation_incident,topic:near-miss->aviation_incident,Unsafe for Jet3 Holidays: detected aviation_incident from enriched title/topic evidence. Signals: topic:near-miss->aviation_incident.,unsafe,high,aviation_incident,"The placement content relates directly to a flight incident, specifically a crash preliminary report, which falls under the advertiser's hard unsafe category of aviation_incident. Due to this direct association with an aviation incident, it is considered unsafe for the Jet3 Holidays advertiser.",True,"matched ""near-miss"" in topic, triggering aviation_incident"
53,Jen & Berry's Ice Cream,Flight incidents / near-misses,https://timesofindia.indiatimes.com/india/preliminary-report-into-baramati-crash-out-low-visibility-operational-gaps-cited/articleshow/128886790.cms,review,high,aviation_incident,topic:near-miss->aviation_incident,Review for Jen & Berry's Ice Cream: detected aviation_incident from enriched title/topic evidence. Signals: topic:near-miss->aviation_incident.,safe,high,,"The placement is on a news article reporting a flight incident related to operational gaps and low visibility. This content does not include any references to tobacco/nicotine, adult themes, extremism, weapons, or divisive political content. The article is informative in nature and does not conflict with the advertiser's family-friendly policy.",False,"matched ""near-miss"" in topic, triggering aviation_incident"
54,Plush Cosmetics,Flight incidents / near-misses,https://apnews.com/article/fa0fc75d46823eb2dd39f815de2d021f,review,high,aviation_incident,topic:near-miss->aviation_incident,Review for Plush Cosmetics: detected aviation_incident from enriched title/topic evidence. Signals: topic:near-miss->aviation_incident.,review,high,aviation_incident;war_or_conflict,"The placement is related to a Turkish Air Force F-16 crash resulting in a pilot's death, which involves an aviation incident and potentially war or conflict content. While the content is not explicitly related to the ad's unsafe categories, the tragic and sensitive nature of the aviation incident suggests caution. Therefore, review is appropriate for this placement given the advertiser's sensitivity to controversial and violent content.",True,"matched ""near-miss"" in topic, triggering aviation_incident"
55,Plush Cosmetics,Flight incidents / near-misses,https://www.gov.uk/aaib-reports,review,high,aviation_incident,topic:near-miss->aviation_incident,Review for Plush Cosmetics: detected aviation_incident from enriched title/topic evidence. Signals: topic:near-miss->aviation_incident.,review,high,aviation_incident,"The placement URL and topic relate to flight incidents and near-misses, categorized as aviation incidents which is a review category for this advertiser. There is no evidence of hard unsafe content, but the nature of the content requires caution and review per policy.",True,"matched ""near-miss"" in topic, triggering aviation_incident"
56,Moonbucks Coffee,Sport competitions (calendar),https://www.topendsports.com/events/calendar-2026.htm,safe,low,,,Safe for Moonbucks Coffee: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement is a sporting event calendar, which does not belong to any hard unsafe or review categories. The content is neutral and appropriate for a broad-reach coffee brand such as Moonbucks Coffee.",True,
57,Plush Cosmetics,Sport competitions (calendar),https://content.sport-social.co.uk/blog/2026-sporting-calendar-major-sports-events,safe,low,,,Safe for Plush Cosmetics: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement URL leads to a page about sporting events calendars, a topic unrelated to any disallowed or sensitive categories for Plush Cosmetics, such as harmful wellbeing content, political extremism, tobacco, or explicit sexual content. The page topic and title indicate a safe environment for a beauty and cosmetics advertiser.",True,
58,Jet3 Holidays,Sport competitions (calendar),https://www.sportscoverdirect.com/scd-blog/sports-events-calendar-2026/,safe,low,,,Safe for Jet3 Holidays: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement is on a sports events calendar page related to sports competitions, which is unrelated to the advertiser's hard unsafe categories such as aviation incidents, war, terrorism, or related sensitive issues. The channel type is shopping but this does not introduce any risk for the given advertiser. There is no evidence of unsafe content based on the provided information.",True,
59,Plush Cosmetics,Sport competitions (calendar),https://www.visitbritain.org/news-and-media/destination-news-and-inspiration/looking-ahead-britains-sporting-highlights-2026,safe,low,,,Safe for Plush Cosmetics: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement is on a page about Britain's sporting highlights in 2026, which is a neutral topic unrelated to any of the advertiser's hard unsafe or review categories. The page content is appropriate for a beauty and cosmetics advertiser with no indication of sensitive or harmful content.",True,
60,Jet3 Holidays,Sport competitions (calendar),https://www.espn.com/pll/story/_/id/48033101/2026-pll-wll-championship-series-lacrosse-sixes-top-players-teams-schedule,safe,low,,,Safe for Jet3 Holidays: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement content is about a sports competition schedule with no indication or evidence of any aviation incidents, transport disruptions, war, terrorism, or related sensitive travel issues. There are no signs of any unsafe categories such as extremism, hate, propaganda, or weapons. Therefore, this placement is considered safe for the travel advertiser Jet3 Holidays.",True,
61,Moonbucks Coffee,Sport competitions (news),https://www.gaslampball.com/san-diego-padres-news/54107/world-baseball-classic-is-here,safe,low,,,Safe for Moonbucks Coffee: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement is about a sports event (World Baseball Classic), which is generally neutral and suitable for a broad-reach coffee brand like Moonbucks Coffee. There is no evidence of any high-risk or review category content in the page information provided.",True,
62,Jen & Berry's Ice Cream,Sport competitions (news),https://timesofindia.indiatimes.com/sports/mlb/news/team-usa-sets-its-best-starting-pitchers-with-cy-young-winners-leading-the-way-for-world-baseball-classic-opener/articleshow/128957698.cms,safe,low,,,Safe for Jen & Berry's Ice Cream: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement is on a sports news article about Team USA's starting pitchers, which is family-friendly and unrelated to any hard unsafe categories such as tobacco, extremism, or adult content. There is no indication of sensitive topics relevant to the advertiser's prohibitions.",True,
63,Jen & Berry's Ice Cream,Sport competitions (news),https://www.barcablaugranes.com/barcelona-copa-del-rey/114048/barcelona-atletico-madrid-copa-del-rey-team-news-preview-lineups-score-prediction,safe,low,,,Safe for Jen & Berry's Ice Cream: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement is a sports news article about a football match preview, which aligns with family-friendly content and does not touch on any unsafe or review categories such as tobacco, adult content, extremism, or politics.",True,
64,Plush Cosmetics,Sport competitions (news),https://timesofindia.indiatimes.com/sports/international-sports/iga-swiatek-returns-to-indian-wells-2026-with-a-chance-to-make-history-as-the-first-woman-to-win-the-title-three-times/articleshow/128971466.cms,safe,low,,,Safe for Plush Cosmetics: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The ad placement is on a news article about a sports event, which does not involve any hard unsafe or review categories according to the advertiser's policy. The content is sports-related and safe for a beauty and cosmetics advertiser.",True,
65,Jet3 Holidays,Sport competitions (news),https://talksport.com/darts/4019764/luke-littler-nominated-award-lando-norris-rory-mcilroy/,unsafe,high,war_or_conflict,title:war->war_or_conflict,Unsafe for Jet3 Holidays: detected war_or_conflict from enriched title/topic evidence. Signals: title:war->war_or_conflict.,safe,high,,"The placement is on a sports news page about a darts player nominated for an award, which does not relate to any hard unsafe categories for the travel advertiser. There is no evidence of aviation incidents, extremism, war, or other disallowed content. The channel type is shopping, which is neutral in this context. There is no evidence warranting a review based on the advertiser's sensitive categories.",False,"matched ""war"" in title, triggering war_or_conflict"
66,Jen & Berry's Ice Cream,World Baseball Classic 2026,https://www.mlb.com/world-baseball-classic,review,medium,click_quality,invalid_click_rate:8.2%->click_quality,Review for Jen & Berry's Ice Cream: detected click_quality from enriched title/topic evidence. Signals: invalid_click_rate:8.2%->click_quality.,safe,high,,"The placement is on the official MLB World Baseball Classic page, which is a family-friendly sports site with no indications of inappropriate content related to tobacco, adult themes, extremism, or other disallowed categories for this advertiser.",False,invalid click rate 8.2% triggered click_quality
67,Moonbucks Coffee,World Baseball Classic 2026,https://www.espn.com/world-baseball-classic/schedule,safe,low,,,Safe for Moonbucks Coffee: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement is on a page about the World Baseball Classic schedule, a sports topic with no indication of any unsafe or sensitive content related to the advertiser's hard unsafe or review categories. The content is general interest and neutral, consistent with the advertiser's tolerance for neutral general-interest content.",True,
68,Jet3 Holidays,World Baseball Classic 2026,https://www.wbsc.org/en/news/world-baseball-classic-2026-groups-and-schedule-announced,review,medium,click_quality,invalid_click_rate:8.0%->click_quality,Review for Jet3 Holidays: detected click_quality from enriched title/topic evidence. Signals: invalid_click_rate:8.0%->click_quality.,safe,high,,"The placement is about the World Baseball Classic 2026 group and schedule, a sports topic unrelated to the advertiser's sensitive categories such as aviation incidents, transport disruption, war, terrorism, or travel-adjacent disasters. There is no evidence of unsafe content in the placement.",False,invalid click rate 8.0% triggered click_quality
69,Jet3 Holidays,World Baseball Classic 2026,https://sports.yahoo.com/mlb/article/world-baseball-classic-2026-schedule-bracket-format-rosters-and-how-to-watch-the-international-baseball-tournament-202329851.html,safe,low,,,Safe for Jet3 Holidays: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement is on a sports-related article about the World Baseball Classic 2026 with no indication of any aviation incidents, transport disruptions, war, terrorism, or other sensitive content relevant to the advertiser's policies. The content is unrelated to the hard unsafe categories and no sensitive themes are detected.",True,
70,Jen & Berry's Ice Cream,World Baseball Classic 2026,https://www.gaslampball.com/san-diego-padres-news/54107/world-baseball-classic-is-here,review,medium,click_quality,invalid_click_rate:8.7%->click_quality,Review for Jen & Berry's Ice Cream: detected click_quality from enriched title/topic evidence. Signals: invalid_click_rate:8.7%->click_quality.,safe,high,,"The placement is on a webpage about the World Baseball Classic, a sports event, with no indication of content related to tobacco, adult themes, extremism, weapons, or divisive political content. The advertiser's policy concerns are not triggered by the evidence provided.",False,invalid click rate 8.7% triggered click_quality
71,Plush Cosmetics,Travel blogs (2026 destinations),https://www.flyingcarpet.travel/blog/featured/travel-hidden-gems-to-visit-in-2026/,safe,low,,,Safe for Plush Cosmetics: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement is on a travel blog discussing hidden travel destinations, which is unrelated to any restricted or sensitive categories like extremism, tobacco, sexual content, or political content. The content appears suitable and safe for a beauty and cosmetics advertiser.",True,
72,Moonbucks Coffee,Travel blogs (2026 destinations),https://www.haystravel.co.uk/blog/hidden-travel-gems-for-2026-2027-unmissable-adventures-off-the-beaten-path/,review,medium,click_quality,invalid_click_rate:8.4%->click_quality,Review for Moonbucks Coffee: detected click_quality from enriched title/topic evidence. Signals: invalid_click_rate:8.4%->click_quality.,safe,high,,"The placement is a travel blog about destinations for 2026-2027, which is general-interest content consistent with the advertiser's policy tolerating neutral news and general interest topics. There are no indications of any hard unsafe categories or review categories in the channel type or content.",False,invalid click rate 8.4% triggered click_quality
73,Jet3 Holidays,Travel blogs (2026 destinations),https://www.notjusttravel.com/blog/inspiration/destination-dupes-2026-26-hidden-gems-you-need-to-visit,safe,low,,,Safe for Jet3 Holidays: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement is a travel blog focusing on hidden travel destinations in 2026, which aligns with travel advertiser interests and does not involve any hard unsafe categories such as aviation incidents or war. The content is appropriate and relevant, with no indication of unsafe or sensitive content according to the supplied evidence.",True,
74,Moonbucks Coffee,Travel blogs (2026 destinations),https://nicolestravels.com/hidden-gem-travel-destinations-2026/,safe,low,,,Safe for Moonbucks Coffee: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement is a travel blog article about hidden gem destinations for 2026, which is general-interest and neutral content appropriate for a broad-reach coffee brand. There is no indication of any unsafe or review category content such as explicit sexual content, extremism, hate speech, or other flagged categories.",True,
75,Plush Cosmetics,Travel blogs (2026 destinations),https://www.jamiewaketravel.co.uk/the-best-underrated-destinations-for-2026,safe,low,,,Safe for Plush Cosmetics: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement is a travel blog about underrated destinations in 2026, which does not relate to any hard unsafe or review categories specified for Plush Cosmetics. There is no indication of harmful wellbeing, controversial political, extremist, tobacco, sexual, or violent content in the evidence provided.",True,
76,Jen & Berry's Ice Cream,Social media (trends 2026),https://blog.hootsuite.com/social-media-trends/,safe,low,,,Safe for Jen & Berry's Ice Cream: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement URL and title indicate content about social media trends, which is unrelated to any hard unsafe categories like tobacco, adult themes, extremism, weapons, or divisive political content. The channel type is shopping but does not by itself indicate risk. There is no indication of sensitive content against the advertiser's policy.",True,
77,Moonbucks Coffee,Social media (trends 2026),https://www.forbes.com/councils/forbescommunicationscouncil/2026/01/02/the-next-social-wave-the-top-6-predictions-that-will-shape-social-media-strategies-in-2026/,safe,low,,,Safe for Moonbucks Coffee: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement is on a Forbes article discussing social media trends, which is neutral general-interest content. It does not fall into any hard unsafe or review categories relevant to the advertiser's policy, making it suitable for advertisement.",True,
78,Plush Cosmetics,Social media (trends 2026),https://meetedgar.com/blog/social-media-trends-2026-the-ins-and-outs,safe,low,,,Safe for Plush Cosmetics: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement is on a search channel with content titled '14 Social Media Trends for 2026: The In's and Outs' and the topic is social media trends, which does not intersect with any hard unsafe or review categories relevant to Plush Cosmetics policy. There is no indication of harmful, controversial, or sensitive content.",True,
79,Jen & Berry's Ice Cream,Social media (trends 2026),https://www.adobe.com/express/learn/blog/2026-social-media-trends,safe,low,,,Safe for Jen & Berry's Ice Cream: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement on a page about social media trends in 2026 appears to be neutral and family-friendly without any indication of content related to tobacco, adult themes, extremism, weapons, or divisive political subjects. The topic and title are clear and relevant, posing no apparent risk categories specified by the advertiser.",True,
80,Jen & Berry's Ice Cream,Social media (trends 2026),https://wearesocial.com/uk/blog/2025/10/digital-2026-global-overview-report/,safe,low,,,Safe for Jen & Berry's Ice Cream: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement URL and title indicate content about social media trends and a global overview report, which is unrelated to any of the advertiser's hard unsafe categories such as tobacco, extremism, or adult content. There is no evidence of policy-violating content in the provided metadata. The content appears appropriate and family-friendly relevant to the advertiser.",True,
81,Plush Cosmetics,K-pop (2026 comebacks),https://www.gq.com/story/bts-begins-again-gq-cover-story-march-2026-interview,safe,low,,,Safe for Plush Cosmetics: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement is an interview article related to K-pop, specifically about BTS, which does not involve any of the advertiser's hard unsafe categories or review categories. The content is about entertainment and music, aligning well with the beauty and cosmetics advertiser's acceptable content domains.",True,
82,Plush Cosmetics,K-pop (2026 comebacks),https://thebeat.asia/vibe/celebs-influencers/2026-kpop-comebacks,safe,low,,,Safe for Plush Cosmetics: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement content is about K-pop comebacks in 2026, which is related to music and entertainment and does not fall under any hard unsafe or review categories relevant to the advertiser Plush Cosmetics. There is no indication of sensitive, harmful, or controversial content based on the provided title and topic.",True,
83,Jet3 Holidays,K-pop (2026 comebacks),https://kpopnewswire.com/major-k-pop-comebacks-in-2026-bts-blackpink-exo-bigbang-jisoo-and-more/,safe,low,,,Safe for Jet3 Holidays: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement is about K-pop music comebacks in 2026, which is unrelated to the advertiser's extra-sensitive categories such as aviation incidents, war, terrorism, or transport disruption. There is no evidence of unsafe or review categories within the content. Therefore, this placement is safe for Jet3 Holidays.",True,
84,Jen & Berry's Ice Cream,K-pop (2026 comebacks),https://kpopofficial.com/kpop-comebacks/,safe,low,,,Safe for Jen & Berry's Ice Cream: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement URL and title indicate content related to K-pop comebacks in 2026, which is family-friendly entertainment content. There is no evidence of tobacco, adult themes, extremism, weapons, or divisive political content that would conflict with the advertiser's hard unsafe categories.",True,
85,Plush Cosmetics,K-pop (2026 comebacks),https://kpoparts.com/kpop-comeback-schedule/,safe,low,,,Safe for Plush Cosmetics: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The content is focused on K-pop comebacks scheduled for 2026, which falls under entertainment and music topics with no indication of any harmful or sensitive content related to the advertiser's hard unsafe or review categories. The channel type is shopping but this is likely related to K-pop merchandise rather than any sensitive content. There is no evidence of explicit sexual content, extremism, hate speech, tobacco, or other unsafe categories. Therefore, this placement is safe for Plush Cosmetics.",True,
86,Jet3 Holidays,K-pop (artist news),https://timesofindia.indiatimes.com/entertainment/k-pop/music/news/bts-partners-with-netflix-for-historic-global-arirang-comeback-live-show-everything-you-need-to-know/articleshow/128773938.cms,safe,low,,,Safe for Jet3 Holidays: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement is about a K-pop music event, unrelated to travel or any of the advertiser's hard unsafe categories such as aviation incidents, war, or terrorism. There is no content indication of risk categories. Thus, the placement is safe for Jet3 Holidays.",True,
87,Jen & Berry's Ice Cream,K-pop (artist news),https://people.com/blackpink-better-together-deadline-mini-album-11915789,safe,low,,,Safe for Jen & Berry's Ice Cream: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement URL and title indicate content related to K-pop artist news, specifically about BLACKPINK's new mini-album. There is no indication of any topics related to tobacco, adult themes, extremism, weapons, or divisive political content. This aligns well with the advertiser's family-friendly food brand policy. No categories requiring review or unsafe categorization are evident from the provided information.",True,
88,Jet3 Holidays,K-pop (artist news),https://www.allkpop.com/article/2026/02/bts-reunites-for-gq-march-2026-cover-opens-up-about-comeback-pressure-and-new-album,safe,low,,,Safe for Jet3 Holidays: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement content is about K-pop artist BTS and their comeback pressure, which does not relate to travel risks such as aviation incidents, transport disruption, war, terrorism, or other hazardous topics specified in the advertiser's policy. No unsafe or review category topics are present.",True,
89,Moonbucks Coffee,K-pop (artist news),https://explorekoreanow.com/kpop-comebacks-in-2026/,safe,low,,,Safe for Moonbucks Coffee: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement is about K-pop comebacks scheduled for 2026, which is general entertainment content with no indication of any hard unsafe or review categories as per the advertiser policy. The topic and title do not suggest any blocked high-risk content, making it suitable for Moonbucks Coffee.",True,
90,Moonbucks Coffee,K-pop (artist news),https://melonbeat.com/2026-k-pop-comeback-schedule-bts-exo-blackpink/,safe,low,,,Safe for Moonbucks Coffee: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement is about K-pop artist news on a shopping channel, unrelated to any high-risk or review categories specified by the advertiser's policy. No unsafe or sensitive content indicated.",True,
91,Moonbucks Coffee,Online content moderation (extremism),https://gnet-research.org/2025/01/28/ai-tools-and-the-alt-right-a-double-edged-sword-for-p-cve/,unsafe,high,extremism;hate_or_alt_right,topic:extremism->extremism;title:alt-right->hate_or_alt_right,"Unsafe for Moonbucks Coffee: detected extremism, hate_or_alt_right from enriched title/topic evidence. Signals: topic:extremism->extremism; title:alt-right->hate_or_alt_right.",unsafe,high,extremism,"The placement is on a page discussing extremism, specifically related to the alt-right, which is categorized as a hard unsafe category for Moonbucks Coffee. Given the advertiser blocks universal high-risk content including extremism, this placement is unsafe.",True,"matched ""extremism"" in topic, triggering extremism; matched ""alt-right"" in title, triggering hate_or_alt_right"
92,Jet3 Holidays,Online content moderation (extremism),https://www.frontiersin.org/journals/political-science/articles/10.3389/fpos.2025.1718396/full,unsafe,high,click_quality;extremism;hate_or_alt_right;propaganda_or_disinformation;war_or_conflict,title:terror->war_or_conflict;topic:extremism->extremism;title:propaganda->hate_or_alt_right;title:propaganda->propaganda_or_disinformation;invalid_click_rate:8.0%->click_quality,"Unsafe for Jet3 Holidays: detected click_quality, extremism, hate_or_alt_right, propaganda_or_disinformation, war_or_conflict from enriched title/topic evidence. Signals: title:terror->war_or_conflict; topic:extremism->extremism; title:propaganda->hate_or_alt_right; title:propaganda->propaganda_or_disinformation; invalid_click_rate:8.0%->click_quality.",unsafe,high,extremism;propaganda_or_disinformation,"The placement is on a page about the role of AI in radicalisation, recruitment, and terrorist propaganda, which directly relates to extremism and propaganda, two hard unsafe categories for the advertiser Jet3 Holidays. Despite the channel being shopping, the content topic makes it unsafe for this travel advertiser given their policy sensitivity to extremism and related content.",True,"matched ""terror"" in title, triggering war_or_conflict; matched ""extremism"" in topic, triggering extremism; matched ""propaganda"" in title, triggering hate_or_alt_right; matched ""propaganda"" in title, triggering propaganda_or_disinformation; invalid click rate 8.0% triggered click_quality"
93,Plush Cosmetics,Online content moderation (extremism),https://www.rsis.edu.sg/ctta-newsarticle/global-far-right-extremist-exploitation-of-artificial-intelligence-and-alt-tech-the-cases-of-the-uk-us-australia-and-new-zealand/,unsafe,high,extremism,topic:extremism->extremism,Unsafe for Plush Cosmetics: detected extremism from enriched title/topic evidence. Signals: topic:extremism->extremism.,unsafe,high,extremism,"The placement title and topic explicitly reference far-right extremism, which falls under the hard unsafe category for this advertiser. Therefore, the placement is unsafe despite the content seemingly being about moderation of extremist content.",True,"matched ""extremism"" in topic, triggering extremism"
94,Jen & Berry's Ice Cream,Online content moderation (extremism),https://disa.org/extremist-disinformation-networks-and-narratives-during-crises-a-gnet-analysis/,unsafe,high,click_quality;extremism;propaganda_or_disinformation,topic:extremism->extremism;title:disinformation->propaganda_or_disinformation;invalid_click_rate:8.8%->click_quality,"Unsafe for Jen & Berry's Ice Cream: detected click_quality, extremism, propaganda_or_disinformation from enriched title/topic evidence. Signals: topic:extremism->extremism; title:disinformation->propaganda_or_disinformation; invalid_click_rate:8.8%->click_quality.",unsafe,high,extremism,"The placement URL and title indicate content related to extremist disinformation networks, which falls directly under the 'extremism' category. Extremism is listed as a hard unsafe category for this advertiser, making the placement unsafe.",True,"matched ""extremism"" in topic, triggering extremism; matched ""disinformation"" in title, triggering propaganda_or_disinformation; invalid click rate 8.8% triggered click_quality"
95,Jet3 Holidays,Online content moderation (extremism),https://gnet-research.org/,unsafe,high,extremism,topic:extremism->extremism,Unsafe for Jet3 Holidays: detected extremism from enriched title/topic evidence. Signals: topic:extremism->extremism.,review,high,extremism,"The placement is on a site focused on extremism (GNET – Global Network on Extremism and Technology), which falls under the advertiser's hard unsafe categories. However, since the site aims at research and moderation of extremism rather than promoting it, the placement is sensitive but not clearly unsafe. Given the advertiser's sensitivity to extremism-related content, a review decision is appropriate to ensure brand safety.",False,"matched ""extremism"" in topic, triggering extremism"
96,Jen & Berry's Ice Cream,Aviation safety explainers,https://resq.com/why-do-airplanes-crash/,review,high,aviation_incident,topic:aviation safety->aviation_incident,Review for Jen & Berry's Ice Cream: detected aviation_incident from enriched title/topic evidence. Signals: topic:aviation safety->aviation_incident.,safe,high,,"The placement is on a page titled 'Why Do Airplanes Crash? Main Causes, Recent Trends, and Safety Lessons (RESQ)' focused on aviation safety explaining causes and safety lessons. This content is informational and does not relate to any hard unsafe categories such as tobacco, adult themes, extremism, weapons, or divisive political content. The channel type is Shopping, which is unrelated but does not introduce risk. No signals suggest any policy conflict.",False,"matched ""aviation safety"" in topic, triggering aviation_incident"
97,Plush Cosmetics,Aviation safety explainers,https://interestingengineering.com/transportation/why-modern-planes-still-crash,review,high,aviation_incident,topic:aviation safety->aviation_incident,Review for Plush Cosmetics: detected aviation_incident from enriched title/topic evidence. Signals: topic:aviation safety->aviation_incident.,review,high,aviation_incident,"The placement content discusses modern plane crashes and aviation safety, which falls under the 'aviation_incident' review category. Given Plush Cosmetics' sensitivity to controversial topics and wellness-related content, a review is warranted to confirm this placement aligns with brand safety requirements.",True,"matched ""aviation safety"" in topic, triggering aviation_incident"
98,Moonbucks Coffee,Aviation safety explainers,https://www.ntsb.gov/investigations/AccidentReports/Pages/Reports.aspx,review,high,aviation_incident,topic:aviation safety->aviation_incident,Review for Moonbucks Coffee: detected aviation_incident from enriched title/topic evidence. Signals: topic:aviation safety->aviation_incident.,review,high,aviation_incident,"The placement is on a page related to NTSB investigation reports focusing on aviation safety, which falls under 'aviation_incident' review category. Given that the advertiser Moonbucks Coffee allows neutral news but blocks high-risk content, and this category is flagged for review per policy, the decision is to review the placement for suitability.",True,"matched ""aviation safety"" in topic, triggering aviation_incident"
99,Jen & Berry's Ice Cream,Aviation safety explainers,https://aviation-safety.net/investigation/,review,high,aviation_incident,topic:aviation safety->aviation_incident,Review for Jen & Berry's Ice Cream: detected aviation_incident from enriched title/topic evidence. Signals: topic:aviation safety->aviation_incident.,safe,high,,"The placement URL and title relate to aviation safety investigation reports, which is an informative and neutral subject unrelated to the advertiser's hard unsafe categories or sensitive topics. There is no indication of adult themes, tobacco/nicotine, extremism, weapons, or divisive political content. The channel type is shopping, which is unrelated but does not introduce risk. Thus, this placement is safe for a family-friendly food brand.",False,"matched ""aviation safety"" in topic, triggering aviation_incident"
100,Plush Cosmetics,Aviation safety explainers,https://www.gov.uk/aaib-reports,review,high,aviation_incident,topic:aviation safety->aviation_incident,Review for Plush Cosmetics: detected aviation_incident from enriched title/topic evidence. Signals: topic:aviation safety->aviation_incident.,review,high,aviation_incident,"The placement is on a government site providing aviation accident investigation reports, which falls under the aviation_incident review category. While it does not conflict with Plush Cosmetics' hard unsafe categories, its nature warrants a cautious review according to the advertiser's policy guidelines.",True,"matched ""aviation safety"" in topic, triggering aviation_incident"
101,Jen & Berry's Ice Cream,Cooking (one-pot pasta),https://www.olivemagazine.com/recipes/collection/best-ever-one-pot-pasta-recipe-collection/,review,high,click_quality;politics,title:maga->politics;invalid_click_rate:8.2%->click_quality,"Review for Jen & Berry's Ice Cream: detected click_quality, politics from enriched title/topic evidence. Signals: title:maga->politics; invalid_click_rate:8.2%->click_quality.",safe,high,,"The placement is on a cooking recipe page focused on one-pot pasta, which aligns with a family-friendly food context. There are no indications or evidence of content related to tobacco, adult themes, extremism, weapons, or divisive political content. The presence of some invalid clicks does not impact content safety for the brand's policy.",False,"matched ""maga"" in title, triggering politics; invalid click rate 8.2% triggered click_quality"
102,Jen & Berry's Ice Cream,Cooking (one-pot pasta),https://www.recipetineats.com/category/pasta-recipes/one-pot-pasta-recipes/,safe,low,,,Safe for Jen & Berry's Ice Cream: no configured high-risk signals were detected from enriched title/topic evidence.,safe,high,,"The placement is on a family-friendly recipe site with content about one-pot pasta recipes, which aligns well with the advertiser's family-friendly food brand policy. There is no evidence of any hard unsafe or review risk categories such as tobacco, extremism, or adult themes on this page. The channel type 'Shopping' is appropriate for food-related content and consistent with the advertiser's brand.",True,
103,Jet3 Holidays,Cooking (one-pot pasta),https://www.foodnetwork.com/recipes/packages/comfort-foods/easy-one-pot-meals/one-pot-pastas,review,medium,click_quality,invalid_click_rate:9.6%->click_quality,Review for Jet3 Holidays: detected click_quality from enriched title/topic evidence. Signals: invalid_click_rate:9.6%->click_quality.,safe,high,,"The placement is on a cooking-related page about easy one-pot pasta recipes, which is unrelated to sensitive topics affecting this travel advertiser, such as aviation incidents, war, terrorism, or transport disruption. There is no evidence of policy-sensitive content categories in the placement.",False,invalid click rate 9.6% triggered click_quality
