placement_id,topic,title,url,company_name,account_id,channel_type,clicks,invalid_clicks,safety_decision,safety_confidence,risk_categories,matched_signals,safety_rationale
65,Sport competitions (news),Luke Littler nominated for Laureus World Breakthrough award (talkSPORT),https://talksport.com/darts/4019764/luke-littler-nominated-award-lando-norris-rory-mcilroy/,Jet3 Holidays,1001,Shopping,6159,81,unsafe,high,war_or_conflict,title:war->war_or_conflict,Unsafe for Jet3 Holidays: detected war_or_conflict from enriched title/topic evidence. Signals: title:war->war_or_conflict.
66,World Baseball Classic 2026,World Baseball Classic (official hub) (MLB.com),https://www.mlb.com/world-baseball-classic,Jen & Berry's Ice Cream,1002,Search,7749,639,review,medium,click_quality,invalid_click_rate:8.2%->click_quality,Review for Jen & Berry's Ice Cream: detected click_quality from enriched title/topic evidence. Signals: invalid_click_rate:8.2%->click_quality.
67,World Baseball Classic 2026,World Baseball Classic schedule (ESPN),https://www.espn.com/world-baseball-classic/schedule,Moonbucks Coffee,1003,Search,2406,58,safe,low,,,Safe for Moonbucks Coffee: no configured high-risk signals were detected from enriched title/topic evidence.
68,World Baseball Classic 2026,World Baseball Classic 2026: groups and schedule announced (WBSC),https://www.wbsc.org/en/news/world-baseball-classic-2026-groups-and-schedule-announced,Jet3 Holidays,1001,Search,1669,134,review,medium,click_quality,invalid_click_rate:8.0%->click_quality,Review for Jet3 Holidays: detected click_quality from enriched title/topic evidence. Signals: invalid_click_rate:8.0%->click_quality.
69,World Baseball Classic 2026,"World Baseball Classic 2026: schedule, bracket, format, rosters and how to watch (Yahoo Sports)",https://sports.yahoo.com/mlb/article/world-baseball-classic-2026-schedule-bracket-format-rosters-and-how-to-watch-the-international-baseball-tournament-202329851.html,Jet3 Holidays,1001,Paid Social,1089,13,safe,low,,,Safe for Jet3 Holidays: no configured high-risk signals were detected from enriched title/topic evidence.
70,World Baseball Classic 2026,World Baseball Classic is here! (Gaslamp Ball),https://www.gaslampball.com/san-diego-padres-news/54107/world-baseball-classic-is-here,Jen & Berry's Ice Cream,1002,Display,1609,140,review,medium,click_quality,invalid_click_rate:8.7%->click_quality,Review for Jen & Berry's Ice Cream: detected click_quality from enriched title/topic evidence. Signals: invalid_click_rate:8.7%->click_quality.
71,Travel blogs (2026 destinations),10 Hidden Gems to Visit in 2026 (FlyingCarpet.Travel),https://www.flyingcarpet.travel/blog/featured/travel-hidden-gems-to-visit-in-2026/,Plush Cosmetics,1004,Paid Social,6065,166,safe,low,,,Safe for Plush Cosmetics: no configured high-risk signals were detected from enriched title/topic evidence.
72,Travel blogs (2026 destinations),Hidden Travel Gems for 2026 & 2027 (Hays Travel),https://www.haystravel.co.uk/blog/hidden-travel-gems-for-2026-2027-unmissable-adventures-off-the-beaten-path/,Moonbucks Coffee,1003,Display,6920,582,review,medium,click_quality,invalid_click_rate:8.4%->click_quality,Review for Moonbucks Coffee: detected click_quality from enriched title/topic evidence. Signals: invalid_click_rate:8.4%->click_quality.
73,Travel blogs (2026 destinations),Destination Dupes 2026: 26 Hidden Gems You Need to Visit (Not Just Travel),https://www.notjusttravel.com/blog/inspiration/destination-dupes-2026-26-hidden-gems-you-need-to-visit,Jet3 Holidays,1001,Search,4873,194,safe,low,,,Safe for Jet3 Holidays: no configured high-risk signals were detected from enriched title/topic evidence.
74,Travel blogs (2026 destinations),Hidden Gem Travel Destinations for 2026 (Nicole's Travels),https://nicolestravels.com/hidden-gem-travel-destinations-2026/,Moonbucks Coffee,1003,Search,2632,53,safe,low,,,Safe for Moonbucks Coffee: no configured high-risk signals were detected from enriched title/topic evidence.
75,Travel blogs (2026 destinations),The Best Underrated Destinations for 2026 (Jamie Wake Travel),https://www.jamiewaketravel.co.uk/the-best-underrated-destinations-for-2026,Plush Cosmetics,1004,Display,2786,108,safe,low,,,Safe for Plush Cosmetics: no configured high-risk signals were detected from enriched title/topic evidence.
76,Social media (trends 2026),The 18 social media trends to shape your 2026 strategy (Hootsuite),https://blog.hootsuite.com/social-media-trends/,Jen & Berry's Ice Cream,1002,Shopping,6076,347,safe,low,,,Safe for Jen & Berry's Ice Cream: no configured high-risk signals were detected from enriched title/topic evidence.
77,Social media (trends 2026),The next social wave: 6 predictions shaping social media strategies in 2026 (Forbes),https://www.forbes.com/councils/forbescommunicationscouncil/2026/01/02/the-next-social-wave-the-top-6-predictions-that-will-shape-social-media-strategies-in-2026/,Moonbucks Coffee,1003,Paid Social,7651,567,safe,low,,,Safe for Moonbucks Coffee: no configured high-risk signals were detected from enriched title/topic evidence.
78,Social media (trends 2026),14 Social Media Trends for 2026: The In's and Outs (MeetEdgar),https://meetedgar.com/blog/social-media-trends-2026-the-ins-and-outs,Plush Cosmetics,1004,Search,7010,473,safe,low,,,Safe for Plush Cosmetics: no configured high-risk signals were detected from enriched title/topic evidence.
79,Social media (trends 2026),11 social media trends to watch in 2026 (Adobe Express),https://www.adobe.com/express/learn/blog/2026-social-media-trends,Jen & Berry's Ice Cream,1002,Search,5128,355,safe,low,,,Safe for Jen & Berry's Ice Cream: no configured high-risk signals were detected from enriched title/topic evidence.
80,Social media (trends 2026),Digital 2026 Global Overview Report (We Are Social),https://wearesocial.com/uk/blog/2025/10/digital-2026-global-overview-report/,Jen & Berry's Ice Cream,1002,Display,3365,138,safe,low,,,Safe for Jen & Berry's Ice Cream: no configured high-risk signals were detected from enriched title/topic evidence.
81,K-pop (2026 comebacks),BTS Begins Again (GQ cover story),https://www.gq.com/story/bts-begins-again-gq-cover-story-march-2026-interview,Plush Cosmetics,1004,Paid Social,6794,178,safe,low,,,Safe for Plush Cosmetics: no configured high-risk signals were detected from enriched title/topic evidence.
82,K-pop (2026 comebacks),"BIGBANG, BTS, EXO, and the Biggest K-Pop Comebacks of 2026 (The Beat Asia)",https://thebeat.asia/vibe/celebs-influencers/2026-kpop-comebacks,Plush Cosmetics,1004,PMax,6091,277,safe,low,,,Safe for Plush Cosmetics: no configured high-risk signals were detected from enriched title/topic evidence.
83,K-pop (2026 comebacks),"Major K-pop comebacks in 2026: BTS, BLACKPINK, EXO, BIGBANG, and more (KpopNewsWire)",https://kpopnewswire.com/major-k-pop-comebacks-in-2026-bts-blackpink-exo-bigbang-jisoo-and-more/,Jet3 Holidays,1001,Search,7455,456,safe,low,,,Safe for Jet3 Holidays: no configured high-risk signals were detected from enriched title/topic evidence.
84,K-pop (2026 comebacks),ALL KPOP COMEBACK SCHEDULE 2026 (KpopOfficial),https://kpopofficial.com/kpop-comebacks/,Jen & Berry's Ice Cream,1002,Display,5544,281,safe,low,,,Safe for Jen & Berry's Ice Cream: no configured high-risk signals were detected from enriched title/topic evidence.
85,K-pop (2026 comebacks),Kpop comeback schedule 2026 (KpopArts),https://kpoparts.com/kpop-comeback-schedule/,Plush Cosmetics,1004,Shopping,7148,468,safe,low,,,Safe for Plush Cosmetics: no configured high-risk signals were detected from enriched title/topic evidence.
86,K-pop (artist news),BTS partners with Netflix for ARIRANG comeback live show (Times of India),https://timesofindia.indiatimes.com/entertainment/k-pop/music/news/bts-partners-with-netflix-for-historic-global-arirang-comeback-live-show-everything-you-need-to-know/articleshow/128773938.cms,Jet3 Holidays,1001,PMax,9875,293,safe,low,,,Safe for Jet3 Holidays: no configured high-risk signals were detected from enriched title/topic evidence.
87,K-pop (artist news),"BLACKPINK is better together than apart, and new mini-album 'Deadline' proves it (People)",https://people.com/blackpink-better-together-deadline-mini-album-11915789,Jen & Berry's Ice Cream,1002,Display,5755,293,safe,low,,,Safe for Jen & Berry's Ice Cream: no configured high-risk signals were detected from enriched title/topic evidence.
88,K-pop (artist news),BTS reunites for GQ March 2026 cover and discusses comeback pressure (allkpop),https://www.allkpop.com/article/2026/02/bts-reunites-for-gq-march-2026-cover-opens-up-about-comeback-pressure-and-new-album,Jet3 Holidays,1001,Search,1493,108,safe,low,,,Safe for Jet3 Holidays: no configured high-risk signals were detected from enriched title/topic evidence.
89,K-pop (artist news),Kpop Comebacks in 2026: Ultimate guide & schedule (ExploreKoreaNow),https://explorekoreanow.com/kpop-comebacks-in-2026/,Moonbucks Coffee,1003,PMax,7352,43,safe,low,,,Safe for Moonbucks Coffee: no configured high-risk signals were detected from enriched title/topic evidence.
90,K-pop (artist news),"2026 K-pop comeback schedule: BTS, EXO, & BLACKPINK (Melonbeat)",https://melonbeat.com/2026-k-pop-comeback-schedule-bts-exo-blackpink/,Moonbucks Coffee,1003,Shopping,3976,280,safe,low,,,Safe for Moonbucks Coffee: no configured high-risk signals were detected from enriched title/topic evidence.
91,Online content moderation (extremism),AI Tools and the Alt-Right: a double-edged sword for P/CVE (GNET),https://gnet-research.org/2025/01/28/ai-tools-and-the-alt-right-a-double-edged-sword-for-p-cve/,Moonbucks Coffee,1003,Paid Social,7119,519,unsafe,high,extremism;hate_or_alt_right,topic:extremism->extremism;title:alt-right->hate_or_alt_right,"Unsafe for Moonbucks Coffee: detected extremism, hate_or_alt_right from enriched title/topic evidence. Signals: topic:extremism->extremism; title:alt-right->hate_or_alt_right."
92,Online content moderation (extremism),"The role of AI in radicalisation, recruitment and terrorist propaganda (Frontiers)",https://www.frontiersin.org/journals/political-science/articles/10.3389/fpos.2025.1718396/full,Jet3 Holidays,1001,Shopping,7065,568,unsafe,high,click_quality;extremism;hate_or_alt_right;propaganda_or_disinformation;war_or_conflict,title:terror->war_or_conflict;topic:extremism->extremism;title:propaganda->hate_or_alt_right;title:propaganda->propaganda_or_disinformation;invalid_click_rate:8.0%->click_quality,"Unsafe for Jet3 Holidays: detected click_quality, extremism, hate_or_alt_right, propaganda_or_disinformation, war_or_conflict from enriched title/topic evidence. Signals: title:terror->war_or_conflict; topic:extremism->extremism; title:propaganda->hate_or_alt_right; title:propaganda->propaganda_or_disinformation; invalid_click_rate:8.0%->click_quality."
93,Online content moderation (extremism),Global far-right extremist exploitation of AI and alt-tech (RSIS),https://www.rsis.edu.sg/ctta-newsarticle/global-far-right-extremist-exploitation-of-artificial-intelligence-and-alt-tech-the-cases-of-the-uk-us-australia-and-new-zealand/,Plush Cosmetics,1004,PMax,6409,318,unsafe,high,extremism,topic:extremism->extremism,Unsafe for Plush Cosmetics: detected extremism from enriched title/topic evidence. Signals: topic:extremism->extremism.
94,Online content moderation (extremism),Extremist disinformation networks and narratives during crises (GNET analysis),https://disa.org/extremist-disinformation-networks-and-narratives-during-crises-a-gnet-analysis/,Jen & Berry's Ice Cream,1002,Shopping,3196,280,unsafe,high,click_quality;extremism;propaganda_or_disinformation,topic:extremism->extremism;title:disinformation->propaganda_or_disinformation;invalid_click_rate:8.8%->click_quality,"Unsafe for Jen & Berry's Ice Cream: detected click_quality, extremism, propaganda_or_disinformation from enriched title/topic evidence. Signals: topic:extremism->extremism; title:disinformation->propaganda_or_disinformation; invalid_click_rate:8.8%->click_quality."
95,Online content moderation (extremism),GNET – Global Network on Extremism and Technology (home),https://gnet-research.org/,Jet3 Holidays,1001,Display,5823,331,unsafe,high,extremism,topic:extremism->extremism,Unsafe for Jet3 Holidays: detected extremism from enriched title/topic evidence. Signals: topic:extremism->extremism.
96,Aviation safety explainers,"Why Do Airplanes Crash? Main Causes, Recent Trends, and Safety Lessons (RESQ)",https://resq.com/why-do-airplanes-crash/,Jen & Berry's Ice Cream,1002,Shopping,8557,98,review,high,aviation_incident,topic:aviation safety->aviation_incident,Review for Jen & Berry's Ice Cream: detected aviation_incident from enriched title/topic evidence. Signals: topic:aviation safety->aviation_incident.
97,Aviation safety explainers,Why modern planes still crash: the hidden chain of errors (Interesting Engineering),https://interestingengineering.com/transportation/why-modern-planes-still-crash,Plush Cosmetics,1004,Search,9591,20,review,high,aviation_incident,topic:aviation safety->aviation_incident,Review for Plush Cosmetics: detected aviation_incident from enriched title/topic evidence. Signals: topic:aviation safety->aviation_incident.
98,Aviation safety explainers,NTSB Investigation Reports overview (NTSB),https://www.ntsb.gov/investigations/AccidentReports/Pages/Reports.aspx,Moonbucks Coffee,1003,Search,3822,15,review,high,aviation_incident,topic:aviation safety->aviation_incident,Review for Moonbucks Coffee: detected aviation_incident from enriched title/topic evidence. Signals: topic:aviation safety->aviation_incident.
99,Aviation safety explainers,Aviation Safety Network: investigation reports index,https://aviation-safety.net/investigation/,Jen & Berry's Ice Cream,1002,Shopping,8296,581,review,high,aviation_incident,topic:aviation safety->aviation_incident,Review for Jen & Berry's Ice Cream: detected aviation_incident from enriched title/topic evidence. Signals: topic:aviation safety->aviation_incident.
100,Aviation safety explainers,Air Accidents Investigation Branch reports search (GOV.UK),https://www.gov.uk/aaib-reports,Plush Cosmetics,1004,Display,5794,79,review,high,aviation_incident,topic:aviation safety->aviation_incident,Review for Plush Cosmetics: detected aviation_incident from enriched title/topic evidence. Signals: topic:aviation safety->aviation_incident.
101,Cooking (one-pot pasta),Magic one pot pasta recipes | olivemagazine,https://www.olivemagazine.com/recipes/collection/best-ever-one-pot-pasta-recipe-collection/,Jen & Berry's Ice Cream,1002,Shopping,1836,150,review,high,click_quality;politics,title:maga->politics;invalid_click_rate:8.2%->click_quality,"Review for Jen & Berry's Ice Cream: detected click_quality, politics from enriched title/topic evidence. Signals: title:maga->politics; invalid_click_rate:8.2%->click_quality."
102,Cooking (one-pot pasta),One pot pasta recipes - RecipeTin Eats,https://www.recipetineats.com/category/pasta-recipes/one-pot-pasta-recipes/,Jen & Berry's Ice Cream,1002,Shopping,6194,414,safe,low,,,Safe for Jen & Berry's Ice Cream: no configured high-risk signals were detected from enriched title/topic evidence.
103,Cooking (one-pot pasta),22 Easy One-Pot Pastas for Busy Weeknights | Food Network,https://www.foodnetwork.com/recipes/packages/comfort-foods/easy-one-pot-meals/one-pot-pastas,Jet3 Holidays,1001,Shopping,1297,124,review,medium,click_quality,invalid_click_rate:9.6%->click_quality,Review for Jet3 Holidays: detected click_quality from enriched title/topic evidence. Signals: invalid_click_rate:9.6%->click_quality.
104,Cooking (one-pot pasta),30 One-Pot Pasta Recipes for Magically Easy Dinners - Kitchn,https://www.thekitchn.com/one-pot-pasta-recipes-261459,Jet3 Holidays,1001,Display,9256,21,safe,low,,,Safe for Jet3 Holidays: no configured high-risk signals were detected from enriched title/topic evidence.
105,Cooking (one-pot pasta),17 Satisfying One-Pot Pasta Dinners With 5 Ingredients or Less,https://uk.style.yahoo.com/17-satisfying-one-pot-pasta-170200817.html,Jet3 Holidays,1001,PMax,7039,346,safe,low,,,Safe for Jet3 Holidays: no configured high-risk signals were detected from enriched title/topic evidence.
106,Travel / holidays,Travel Articles from The Travel Magazine,https://www.thetravelmagazine.net/articles/,Moonbucks Coffee,1003,Shopping,1855,11,review,high,politics,title:maga->politics,Review for Moonbucks Coffee: detected politics from enriched title/topic evidence. Signals: title:maga->politics.
107,Travel / holidays,"Travel | Holiday advice, news & hotel reviews - The Independent",https://www.independent.co.uk/travel,Plush Cosmetics,1004,Paid Social,5298,154,safe,low,,,Safe for Plush Cosmetics: no configured high-risk signals were detected from enriched title/topic evidence.
108,Travel / holidays,Saga Travel Blog: Destination Guides & Travel Advice - Saga Holidays,https://holiday.saga.co.uk/blog,Moonbucks Coffee,1003,Paid Social,9048,569,safe,low,,,Safe for Moonbucks Coffee: no configured high-risk signals were detected from enriched title/topic evidence.
109,Travel / holidays,Travel Articles - The Independent (travel section landing),https://www.independent.co.uk/travel,Jet3 Holidays,1001,Paid Social,5994,411,safe,low,,,Safe for Jet3 Holidays: no configured high-risk signals were detected from enriched title/topic evidence.
110,Travel / holidays,Travel Articles listing - The Travel Magazine (articles index),https://www.thetravelmagazine.net/articles/,Jen & Berry's Ice Cream,1002,PMax,2822,265,review,high,click_quality;politics,title:maga->politics;invalid_click_rate:9.4%->click_quality,"Review for Jen & Berry's Ice Cream: detected click_quality, politics from enriched title/topic evidence. Signals: title:maga->politics; invalid_click_rate:9.4%->click_quality."
111,Technology (MWC / devices / trends),The best mobile tech announced at MWC 2026 so far,https://www.theverge.com/tech/882992/mobile-world-congress-mwc-2026-smartphones-laptops-headphones,Jet3 Holidays,1001,PMax,3425,295,review,medium,click_quality,invalid_click_rate:8.6%->click_quality,Review for Jet3 Holidays: detected click_quality from enriched title/topic evidence. Signals: invalid_click_rate:8.6%->click_quality.
112,Technology (MWC / devices / trends),"Samsung rolls out more AI, new privacy shield mode with the new Galaxy S26 lineup",https://apnews.com/article/b23e8c9c51c2d09e772fe8709b867ca7,Jen & Berry's Ice Cream,1002,Display,3841,383,review,medium,click_quality,invalid_click_rate:10.0%->click_quality,Review for Jen & Berry's Ice Cream: detected click_quality from enriched title/topic evidence. Signals: invalid_click_rate:10.0%->click_quality.
113,Technology (MWC / devices / trends),Ericsson maps out the road to fully commercial 6G networks at MWC 2026,https://www.itpro.com/infrastructure/networking/ericsson-maps-out-the-road-to-fully-commercial-6g-networks-at-mwc-2026,Plush Cosmetics,1004,Paid Social,3347,16,safe,low,,,Safe for Plush Cosmetics: no configured high-risk signals were detected from enriched title/topic evidence.
114,Technology (MWC / devices / trends),Top Technology Trends That Will Shape in 2026: Emerging ... - Tech Times,https://www.techtimes.com/articles/313559/20251231/top-technology-trends-that-will-shape-2026-emerging-tech-what-expect-next-year.htm,Plush Cosmetics,1004,Shopping,6121,19,safe,low,,,Safe for Plush Cosmetics: no configured high-risk signals were detected from enriched title/topic evidence.
115,Technology (MWC / devices / trends),The Most Impactful Business Technology Trends To Watch In 2026 - Forbes,https://www.forbes.com/councils/forbestechcouncil/2025/12/22/the-most-impactful-business-technology-trends-to-watch-for-2026/,Plush Cosmetics,1004,Search,7303,724,review,medium,click_quality,invalid_click_rate:9.9%->click_quality,Review for Plush Cosmetics: detected click_quality from enriched title/topic evidence. Signals: invalid_click_rate:9.9%->click_quality.
116,Sex & relationships education (non-explicit),Blog — School of Sexuality Education,https://schoolofsexed.org/blog,Jen & Berry's Ice Cream,1002,Paid Social,2066,113,review,high,adult_or_relationships,topic:sex & relationships->adult_or_relationships,Review for Jen & Berry's Ice Cream: detected adult_or_relationships from enriched title/topic evidence. Signals: topic:sex & relationships->adult_or_relationships.
117,Sex & relationships education (non-explicit),New RSHE guidance: what parents need to know - The Education Hub,https://educationhub.blog.gov.uk/2025/07/new-rshe-guidance-what-parents-need-to-know/,Jen & Berry's Ice Cream,1002,Search,6552,119,review,high,adult_or_relationships,topic:sex & relationships->adult_or_relationships,Review for Jen & Berry's Ice Cream: detected adult_or_relationships from enriched title/topic evidence. Signals: topic:sex & relationships->adult_or_relationships.
118,Sex & relationships education (non-explicit),Sexual Health Education for Behavior Change: Revisiting How Much is ... (ScienceDirect),https://www.sciencedirect.com/science/article/pii/S1054139X25002344,Jen & Berry's Ice Cream,1002,Display,8766,125,review,high,adult_or_relationships,topic:sex & relationships->adult_or_relationships,Review for Jen & Berry's Ice Cream: detected adult_or_relationships from enriched title/topic evidence. Signals: topic:sex & relationships->adult_or_relationships.
119,Sex & relationships education (non-explicit),Why aren't we talking more about consent? (School of Sex Ed blog index),https://schoolofsexed.org/blog,Jen & Berry's Ice Cream,1002,Display,5779,347,review,high,adult_or_relationships,topic:sex & relationships->adult_or_relationships,Review for Jen & Berry's Ice Cream: detected adult_or_relationships from enriched title/topic evidence. Signals: topic:sex & relationships->adult_or_relationships.
120,Sex & relationships education (non-explicit),How we bust myths and misinformation around HIV / AIDS (School of Sex Ed blog index),https://schoolofsexed.org/blog,Plush Cosmetics,1004,Paid Social,7746,152,unsafe,high,adult_or_relationships;propaganda_or_disinformation,title:misinformation->propaganda_or_disinformation;topic:sex & relationships->adult_or_relationships,"Unsafe for Plush Cosmetics: detected adult_or_relationships, propaganda_or_disinformation from enriched title/topic evidence. Signals: title:misinformation->propaganda_or_disinformation; topic:sex & relationships->adult_or_relationships."
121,Politics (commentary/newsletters),Letters from an American | Heather Cox Richardson | Substack,https://heathercoxrichardson.substack.com/,Plush Cosmetics,1004,Paid Social,6719,623,review,high,click_quality;politics,topic:politics->politics;invalid_click_rate:9.3%->click_quality,"Review for Plush Cosmetics: detected click_quality, politics from enriched title/topic evidence. Signals: topic:politics->politics; invalid_click_rate:9.3%->click_quality."
122,Politics (commentary/newsletters),"Politics Chat, February 26, 2026",https://heathercoxrichardson.substack.com/p/politics-chat-february-26-2026,Jet3 Holidays,1001,Paid Social,6765,513,review,high,politics,topic:politics->politics,Review for Jet3 Holidays: detected politics from enriched title/topic evidence. Signals: topic:politics->politics.
123,Politics (commentary/newsletters),Comment is Freed | Sam Freedman | Substack,https://samf.substack.com/,Plush Cosmetics,1004,Paid Social,2858,108,review,high,politics,topic:politics->politics,Review for Plush Cosmetics: detected politics from enriched title/topic evidence. Signals: topic:politics->politics.
124,Politics (commentary/newsletters),Democracy for Sale | Peter Geoghegan | Substack,https://democracyforsale.substack.com/,Jet3 Holidays,1001,Shopping,1386,20,review,high,politics,topic:politics->politics,Review for Jet3 Holidays: detected politics from enriched title/topic evidence. Signals: topic:politics->politics.
125,Politics (commentary/newsletters),Dominic Cummings substack | Substack,https://dominiccummings.substack.com/,Moonbucks Coffee,1003,Shopping,8263,718,review,high,click_quality;politics,topic:politics->politics;invalid_click_rate:8.7%->click_quality,"Review for Moonbucks Coffee: detected click_quality, politics from enriched title/topic evidence. Signals: topic:politics->politics; invalid_click_rate:8.7%->click_quality."
126,War / conflict (Ukraine / geopolitics),"Ukraine war briefing: Russia's army records slowest advance since 2024 amid Starlink cut, data shows",https://www.theguardian.com/world/2026/mar/03/ukraine-war-briefing-russia-army-records-slowest-advance-since-2024-amid-starlink-cut-data-shows,Jen & Berry's Ice Cream,1002,Search,1588,20,review,high,politics;war_or_conflict,topic:war->war_or_conflict;topic:politics->politics,"Review for Jen & Berry's Ice Cream: detected politics, war_or_conflict from enriched title/topic evidence. Signals: topic:war->war_or_conflict; topic:politics->politics."
127,War / conflict (Ukraine / geopolitics),EU urges Ukraine to allow access to pipeline carrying Russian oil,https://www.ft.com/content/8f5f18fb-311d-4df0-805c-063b292506b3,Plush Cosmetics,1004,Shopping,5102,339,review,high,politics;war_or_conflict,topic:war->war_or_conflict;topic:politics->politics,"Review for Plush Cosmetics: detected politics, war_or_conflict from enriched title/topic evidence. Signals: topic:war->war_or_conflict; topic:politics->politics."
128,War / conflict (Ukraine / geopolitics),"Russia-Ukraine war: List of key events, day 1,464",https://www.aljazeera.com/news/2026/2/27/russia-ukraine-war-list-of-key-events-day-1464,Plush Cosmetics,1004,Search,2223,108,review,high,politics;war_or_conflict,topic:war->war_or_conflict;topic:politics->politics,"Review for Plush Cosmetics: detected politics, war_or_conflict from enriched title/topic evidence. Signals: topic:war->war_or_conflict; topic:politics->politics."
129,War / conflict (Ukraine / geopolitics),War in Ukraine - Financial Times,https://www.ft.com/war-in-ukraine,Jen & Berry's Ice Cream,1002,Paid Social,2390,74,review,high,politics;war_or_conflict,topic:war->war_or_conflict;topic:politics->politics,"Review for Jen & Berry's Ice Cream: detected politics, war_or_conflict from enriched title/topic evidence. Signals: topic:war->war_or_conflict; topic:politics->politics."
130,War / conflict (Ukraine / geopolitics),"War in Ukraine: Trending News, Latest Updates, Analysis (Bloomberg)",https://www.bloomberg.com/latest/russia-ukraine-war,Plush Cosmetics,1004,Paid Social,2770,174,review,high,politics;war_or_conflict,topic:war->war_or_conflict;topic:politics->politics,"Review for Plush Cosmetics: detected politics, war_or_conflict from enriched title/topic evidence. Signals: topic:war->war_or_conflict; topic:politics->politics."
131,Weapons / gun policy,"The Science of Gun Policy, Fifth Edition - RAND Corporation",https://www.rand.org/pubs/research_reports/RRA4360-2.html,Moonbucks Coffee,1003,Paid Social,7384,261,unsafe,high,politics;weapons,topic:weapon->weapons;topic:policy->politics,"Unsafe for Moonbucks Coffee: detected politics, weapons from enriched title/topic evidence. Signals: topic:weapon->weapons; topic:policy->politics."
132,Weapons / gun policy,"Gun Control | Pros, Cons, Debate, Arguments, Firearms, Laws, Safety ... (Britannica)",https://www.britannica.com/procon/gun-control-debate,Jet3 Holidays,1001,Search,1945,74,unsafe,high,politics;weapons,topic:weapon->weapons;topic:policy->politics,"Unsafe for Jet3 Holidays: detected politics, weapons from enriched title/topic evidence. Signals: topic:weapon->weapons; topic:policy->politics."
133,Weapons / gun policy,National Survey of Gun Policy | Center for Gun Violence Solutions,https://publichealth.jhu.edu/center-for-gun-violence-solutions/data/national-survey-of-gun-policy,Jet3 Holidays,1001,Search,4836,200,unsafe,high,politics;weapons,topic:weapon->weapons;topic:policy->politics,"Unsafe for Jet3 Holidays: detected politics, weapons from enriched title/topic evidence. Signals: topic:weapon->weapons; topic:policy->politics."
134,Weapons / gun policy,Policy Evaluation - Harvard T.H. Chan School of Public Health (firearms research),https://hsph.harvard.edu/research/injury-control/firearms-research/policy-evaluation/,Jet3 Holidays,1001,Display,8951,352,unsafe,high,politics;weapons,topic:weapon->weapons;topic:policy->politics,"Unsafe for Jet3 Holidays: detected politics, weapons from enriched title/topic evidence. Signals: topic:weapon->weapons; topic:policy->politics."
135,Weapons / gun policy,Gun Violence and Gun Policy in the United States: Understanding ... (SAGE),https://journals.sagepub.com/doi/pdf/10.1177/00027162231174162?download=true,Plush Cosmetics,1004,PMax,2184,179,unsafe,high,click_quality;politics;weapons,topic:weapon->weapons;topic:policy->politics;invalid_click_rate:8.2%->click_quality,"Unsafe for Plush Cosmetics: detected click_quality, politics, weapons from enriched title/topic evidence. Signals: topic:weapon->weapons; topic:policy->politics; invalid_click_rate:8.2%->click_quality."
136,Video games,The Best Games Of 2026 (So Far) - GameSpot,https://www.gamespot.com/gallery/the-best-games-of-2026/2900-7436/,Jen & Berry's Ice Cream,1002,Shopping,7760,402,safe,low,,,Safe for Jen & Berry's Ice Cream: no configured high-risk signals were detected from enriched title/topic evidence.
137,Video games,Big in 2026: The ultimate guide to the video games that will shape 2026 and beyond - GamesRadar+,https://www.gamesradar.com/games/big-in-2026-the-ultimate-guide-to-the-video-games-that-will-shape-2026-and-beyond/,Moonbucks Coffee,1003,PMax,7693,307,safe,low,,,Safe for Moonbucks Coffee: no configured high-risk signals were detected from enriched title/topic evidence.
138,Video games,Our 14 most anticipated games of 2026 - TechRadar,https://www.techradar.com/gaming/most-anticipated-games-of-2026,Jet3 Holidays,1001,Search,7717,312,safe,low,,,Safe for Jet3 Holidays: no configured high-risk signals were detected from enriched title/topic evidence.
139,Video games,The A.V. Club's most anticipated games of 2026,https://www.avclub.com/2026-video-games-preview,Plush Cosmetics,1004,Display,8519,773,review,medium,click_quality,invalid_click_rate:9.1%->click_quality,Review for Plush Cosmetics: detected click_quality from enriched title/topic evidence. Signals: invalid_click_rate:9.1%->click_quality.
140,Video games,Video Games 2026: Key Trends Shaping the Future of Play,https://blog.mavigadget.com/video-games-2026-key-trends-shaping-the-future-of-play/,Plush Cosmetics,1004,Shopping,4275,182,safe,low,,,Safe for Plush Cosmetics: no configured high-risk signals were detected from enriched title/topic evidence.
141,Climate & environment,5 Things to Watch in Climate and Environment in 2026 (UNU),https://unu.edu/ehs/article/5-things-watch-climate-and-environment-2026,Plush Cosmetics,1004,PMax,8869,763,review,medium,click_quality,invalid_click_rate:8.6%->click_quality,Review for Plush Cosmetics: detected click_quality from enriched title/topic evidence. Signals: invalid_click_rate:8.6%->click_quality.
142,Climate & environment,3 Climate Stories That Will Shape the World in 2026 (WRI),https://www.wri.org/insights/stories-to-watch-climate-economy-2026,Jen & Berry's Ice Cream,1002,Paid Social,4093,273,safe,low,,,Safe for Jen & Berry's Ice Cream: no configured high-risk signals were detected from enriched title/topic evidence.
143,Climate & environment,2026 Global Risks Report: Environmental risks remain urgent (WEF),https://www.weforum.org/stories/2026/02/2026-global-risks-report-environmental-risks-remain-urgent/,Moonbucks Coffee,1003,Shopping,1201,64,safe,low,,,Safe for Moonbucks Coffee: no configured high-risk signals were detected from enriched title/topic evidence.
