placement_id,topic,title,url,company_name,account_id,channel_type,clicks,invalid_clicks,llm_safety_decision,llm_safety_confidence,llm_risk_categories,llm_safety_rationale,llm_missing_evidence,llm_raw_response
66,World Baseball Classic 2026,World Baseball Classic (official hub) (MLB.com),https://www.mlb.com/world-baseball-classic,Jen & Berry's Ice Cream,1002,Search,7749,639,safe,high,,"The placement is on the official MLB World Baseball Classic page, which is a family-friendly sports site with no indications of inappropriate content related to tobacco, adult themes, extremism, or other disallowed categories for this advertiser.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement is on the official MLB World Baseball Classic page, which is a family-friendly sports site with no indications of inappropriate content related to tobacco, adult themes, extremism, or other disallowed categories for this advertiser."", ""risk_categories"": []}"
67,World Baseball Classic 2026,World Baseball Classic schedule (ESPN),https://www.espn.com/world-baseball-classic/schedule,Moonbucks Coffee,1003,Search,2406,58,safe,high,,"The placement is on a page about the World Baseball Classic schedule, a sports topic with no indication of any unsafe or sensitive content related to the advertiser's hard unsafe or review categories. The content is general interest and neutral, consistent with the advertiser's tolerance for neutral general-interest content.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement is on a page about the World Baseball Classic schedule, a sports topic with no indication of any unsafe or sensitive content related to the advertiser's hard unsafe or review categories. The content is general interest and neutral, consistent with the advertiser's tolerance for neutral general-interest content."", ""risk_categories"": []}"
68,World Baseball Classic 2026,World Baseball Classic 2026: groups and schedule announced (WBSC),https://www.wbsc.org/en/news/world-baseball-classic-2026-groups-and-schedule-announced,Jet3 Holidays,1001,Search,1669,134,safe,high,,"The placement is about the World Baseball Classic 2026 group and schedule, a sports topic unrelated to the advertiser's sensitive categories such as aviation incidents, transport disruption, war, terrorism, or travel-adjacent disasters. There is no evidence of unsafe content in the placement.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement is about the World Baseball Classic 2026 group and schedule, a sports topic unrelated to the advertiser's sensitive categories such as aviation incidents, transport disruption, war, terrorism, or travel-adjacent disasters. There is no evidence of unsafe content in the placement."", ""risk_categories"": []}"
69,World Baseball Classic 2026,"World Baseball Classic 2026: schedule, bracket, format, rosters and how to watch (Yahoo Sports)",https://sports.yahoo.com/mlb/article/world-baseball-classic-2026-schedule-bracket-format-rosters-and-how-to-watch-the-international-baseball-tournament-202329851.html,Jet3 Holidays,1001,Paid Social,1089,13,safe,high,,"The placement is on a sports-related article about the World Baseball Classic 2026 with no indication of any aviation incidents, transport disruptions, war, terrorism, or other sensitive content relevant to the advertiser's policies. The content is unrelated to the hard unsafe categories and no sensitive themes are detected.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement is on a sports-related article about the World Baseball Classic 2026 with no indication of any aviation incidents, transport disruptions, war, terrorism, or other sensitive content relevant to the advertiser's policies. The content is unrelated to the hard unsafe categories and no sensitive themes are detected."", ""risk_categories"": []}"
70,World Baseball Classic 2026,World Baseball Classic is here! (Gaslamp Ball),https://www.gaslampball.com/san-diego-padres-news/54107/world-baseball-classic-is-here,Jen & Berry's Ice Cream,1002,Display,1609,140,safe,high,,"The placement is on a webpage about the World Baseball Classic, a sports event, with no indication of content related to tobacco, adult themes, extremism, weapons, or divisive political content. The advertiser's policy concerns are not triggered by the evidence provided.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement is on a webpage about the World Baseball Classic, a sports event, with no indication of content related to tobacco, adult themes, extremism, weapons, or divisive political content. The advertiser's policy concerns are not triggered by the evidence provided."", ""risk_categories"": []}"
71,Travel blogs (2026 destinations),10 Hidden Gems to Visit in 2026 (FlyingCarpet.Travel),https://www.flyingcarpet.travel/blog/featured/travel-hidden-gems-to-visit-in-2026/,Plush Cosmetics,1004,Paid Social,6065,166,safe,high,,"The placement is on a travel blog discussing hidden travel destinations, which is unrelated to any restricted or sensitive categories like extremism, tobacco, sexual content, or political content. The content appears suitable and safe for a beauty and cosmetics advertiser.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement is on a travel blog discussing hidden travel destinations, which is unrelated to any restricted or sensitive categories like extremism, tobacco, sexual content, or political content. The content appears suitable and safe for a beauty and cosmetics advertiser."", ""risk_categories"": []}"
72,Travel blogs (2026 destinations),Hidden Travel Gems for 2026 & 2027 (Hays Travel),https://www.haystravel.co.uk/blog/hidden-travel-gems-for-2026-2027-unmissable-adventures-off-the-beaten-path/,Moonbucks Coffee,1003,Display,6920,582,safe,high,,"The placement is a travel blog about destinations for 2026-2027, which is general-interest content consistent with the advertiser's policy tolerating neutral news and general interest topics. There are no indications of any hard unsafe categories or review categories in the channel type or content.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement is a travel blog about destinations for 2026-2027, which is general-interest content consistent with the advertiser's policy tolerating neutral news and general interest topics. There are no indications of any hard unsafe categories or review categories in the channel type or content."", ""risk_categories"": []}"
73,Travel blogs (2026 destinations),Destination Dupes 2026: 26 Hidden Gems You Need to Visit (Not Just Travel),https://www.notjusttravel.com/blog/inspiration/destination-dupes-2026-26-hidden-gems-you-need-to-visit,Jet3 Holidays,1001,Search,4873,194,safe,high,,"The placement is a travel blog focusing on hidden travel destinations in 2026, which aligns with travel advertiser interests and does not involve any hard unsafe categories such as aviation incidents or war. The content is appropriate and relevant, with no indication of unsafe or sensitive content according to the supplied evidence.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement is a travel blog focusing on hidden travel destinations in 2026, which aligns with travel advertiser interests and does not involve any hard unsafe categories such as aviation incidents or war. The content is appropriate and relevant, with no indication of unsafe or sensitive content according to the supplied evidence."", ""risk_categories"": []}"
74,Travel blogs (2026 destinations),Hidden Gem Travel Destinations for 2026 (Nicole's Travels),https://nicolestravels.com/hidden-gem-travel-destinations-2026/,Moonbucks Coffee,1003,Search,2632,53,safe,high,,"The placement is a travel blog article about hidden gem destinations for 2026, which is general-interest and neutral content appropriate for a broad-reach coffee brand. There is no indication of any unsafe or review category content such as explicit sexual content, extremism, hate speech, or other flagged categories.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement is a travel blog article about hidden gem destinations for 2026, which is general-interest and neutral content appropriate for a broad-reach coffee brand. There is no indication of any unsafe or review category content such as explicit sexual content, extremism, hate speech, or other flagged categories."", ""risk_categories"": []}"
75,Travel blogs (2026 destinations),The Best Underrated Destinations for 2026 (Jamie Wake Travel),https://www.jamiewaketravel.co.uk/the-best-underrated-destinations-for-2026,Plush Cosmetics,1004,Display,2786,108,safe,high,,"The placement is a travel blog about underrated destinations in 2026, which does not relate to any hard unsafe or review categories specified for Plush Cosmetics. There is no indication of harmful wellbeing, controversial political, extremist, tobacco, sexual, or violent content in the evidence provided.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement is a travel blog about underrated destinations in 2026, which does not relate to any hard unsafe or review categories specified for Plush Cosmetics. There is no indication of harmful wellbeing, controversial political, extremist, tobacco, sexual, or violent content in the evidence provided."", ""risk_categories"": []}"
76,Social media (trends 2026),The 18 social media trends to shape your 2026 strategy (Hootsuite),https://blog.hootsuite.com/social-media-trends/,Jen & Berry's Ice Cream,1002,Shopping,6076,347,safe,high,,"The placement URL and title indicate content about social media trends, which is unrelated to any hard unsafe categories like tobacco, adult themes, extremism, weapons, or divisive political content. The channel type is shopping but does not by itself indicate risk. There is no indication of sensitive content against the advertiser's policy.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement URL and title indicate content about social media trends, which is unrelated to any hard unsafe categories like tobacco, adult themes, extremism, weapons, or divisive political content. The channel type is shopping but does not by itself indicate risk. There is no indication of sensitive content against the advertiser's policy."", ""risk_categories"": []}"
77,Social media (trends 2026),The next social wave: 6 predictions shaping social media strategies in 2026 (Forbes),https://www.forbes.com/councils/forbescommunicationscouncil/2026/01/02/the-next-social-wave-the-top-6-predictions-that-will-shape-social-media-strategies-in-2026/,Moonbucks Coffee,1003,Paid Social,7651,567,safe,high,,"The placement is on a Forbes article discussing social media trends, which is neutral general-interest content. It does not fall into any hard unsafe or review categories relevant to the advertiser's policy, making it suitable for advertisement.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement is on a Forbes article discussing social media trends, which is neutral general-interest content. It does not fall into any hard unsafe or review categories relevant to the advertiser's policy, making it suitable for advertisement."", ""risk_categories"": []}"
78,Social media (trends 2026),14 Social Media Trends for 2026: The In's and Outs (MeetEdgar),https://meetedgar.com/blog/social-media-trends-2026-the-ins-and-outs,Plush Cosmetics,1004,Search,7010,473,safe,high,,"The placement is on a search channel with content titled '14 Social Media Trends for 2026: The In's and Outs' and the topic is social media trends, which does not intersect with any hard unsafe or review categories relevant to Plush Cosmetics policy. There is no indication of harmful, controversial, or sensitive content.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement is on a search channel with content titled '14 Social Media Trends for 2026: The In's and Outs' and the topic is social media trends, which does not intersect with any hard unsafe or review categories relevant to Plush Cosmetics policy. There is no indication of harmful, controversial, or sensitive content."", ""risk_categories"": []}"
79,Social media (trends 2026),11 social media trends to watch in 2026 (Adobe Express),https://www.adobe.com/express/learn/blog/2026-social-media-trends,Jen & Berry's Ice Cream,1002,Search,5128,355,safe,high,,"The placement on a page about social media trends in 2026 appears to be neutral and family-friendly without any indication of content related to tobacco, adult themes, extremism, weapons, or divisive political subjects. The topic and title are clear and relevant, posing no apparent risk categories specified by the advertiser.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement on a page about social media trends in 2026 appears to be neutral and family-friendly without any indication of content related to tobacco, adult themes, extremism, weapons, or divisive political subjects. The topic and title are clear and relevant, posing no apparent risk categories specified by the advertiser."", ""risk_categories"": []}"
80,Social media (trends 2026),Digital 2026 Global Overview Report (We Are Social),https://wearesocial.com/uk/blog/2025/10/digital-2026-global-overview-report/,Jen & Berry's Ice Cream,1002,Display,3365,138,safe,high,,"The placement URL and title indicate content about social media trends and a global overview report, which is unrelated to any of the advertiser's hard unsafe categories such as tobacco, extremism, or adult content. There is no evidence of policy-violating content in the provided metadata. The content appears appropriate and family-friendly relevant to the advertiser.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement URL and title indicate content about social media trends and a global overview report, which is unrelated to any of the advertiser's hard unsafe categories such as tobacco, extremism, or adult content. There is no evidence of policy-violating content in the provided metadata. The content appears appropriate and family-friendly relevant to the advertiser."", ""risk_categories"": []}"
81,K-pop (2026 comebacks),BTS Begins Again (GQ cover story),https://www.gq.com/story/bts-begins-again-gq-cover-story-march-2026-interview,Plush Cosmetics,1004,Paid Social,6794,178,safe,high,,"The placement is an interview article related to K-pop, specifically about BTS, which does not involve any of the advertiser's hard unsafe categories or review categories. The content is about entertainment and music, aligning well with the beauty and cosmetics advertiser's acceptable content domains.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement is an interview article related to K-pop, specifically about BTS, which does not involve any of the advertiser's hard unsafe categories or review categories. The content is about entertainment and music, aligning well with the beauty and cosmetics advertiser's acceptable content domains."", ""risk_categories"": []}"
82,K-pop (2026 comebacks),"BIGBANG, BTS, EXO, and the Biggest K-Pop Comebacks of 2026 (The Beat Asia)",https://thebeat.asia/vibe/celebs-influencers/2026-kpop-comebacks,Plush Cosmetics,1004,PMax,6091,277,safe,high,,"The placement content is about K-pop comebacks in 2026, which is related to music and entertainment and does not fall under any hard unsafe or review categories relevant to the advertiser Plush Cosmetics. There is no indication of sensitive, harmful, or controversial content based on the provided title and topic.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement content is about K-pop comebacks in 2026, which is related to music and entertainment and does not fall under any hard unsafe or review categories relevant to the advertiser Plush Cosmetics. There is no indication of sensitive, harmful, or controversial content based on the provided title and topic."", ""risk_categories"": []}"
83,K-pop (2026 comebacks),"Major K-pop comebacks in 2026: BTS, BLACKPINK, EXO, BIGBANG, and more (KpopNewsWire)",https://kpopnewswire.com/major-k-pop-comebacks-in-2026-bts-blackpink-exo-bigbang-jisoo-and-more/,Jet3 Holidays,1001,Search,7455,456,safe,high,,"The placement is about K-pop music comebacks in 2026, which is unrelated to the advertiser's extra-sensitive categories such as aviation incidents, war, terrorism, or transport disruption. There is no evidence of unsafe or review categories within the content. Therefore, this placement is safe for Jet3 Holidays.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement is about K-pop music comebacks in 2026, which is unrelated to the advertiser's extra-sensitive categories such as aviation incidents, war, terrorism, or transport disruption. There is no evidence of unsafe or review categories within the content. Therefore, this placement is safe for Jet3 Holidays."", ""risk_categories"": []}"
84,K-pop (2026 comebacks),ALL KPOP COMEBACK SCHEDULE 2026 (KpopOfficial),https://kpopofficial.com/kpop-comebacks/,Jen & Berry's Ice Cream,1002,Display,5544,281,safe,high,,"The placement URL and title indicate content related to K-pop comebacks in 2026, which is family-friendly entertainment content. There is no evidence of tobacco, adult themes, extremism, weapons, or divisive political content that would conflict with the advertiser's hard unsafe categories.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement URL and title indicate content related to K-pop comebacks in 2026, which is family-friendly entertainment content. There is no evidence of tobacco, adult themes, extremism, weapons, or divisive political content that would conflict with the advertiser's hard unsafe categories."", ""risk_categories"": []}"
85,K-pop (2026 comebacks),Kpop comeback schedule 2026 (KpopArts),https://kpoparts.com/kpop-comeback-schedule/,Plush Cosmetics,1004,Shopping,7148,468,safe,high,,"The content is focused on K-pop comebacks scheduled for 2026, which falls under entertainment and music topics with no indication of any harmful or sensitive content related to the advertiser's hard unsafe or review categories. The channel type is shopping but this is likely related to K-pop merchandise rather than any sensitive content. There is no evidence of explicit sexual content, extremism, hate speech, tobacco, or other unsafe categories. Therefore, this placement is safe for Plush Cosmetics.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The content is focused on K-pop comebacks scheduled for 2026, which falls under entertainment and music topics with no indication of any harmful or sensitive content related to the advertiser's hard unsafe or review categories. The channel type is shopping but this is likely related to K-pop merchandise rather than any sensitive content. There is no evidence of explicit sexual content, extremism, hate speech, tobacco, or other unsafe categories. Therefore, this placement is safe for Plush Cosmetics."", ""risk_categories"": []}"
86,K-pop (artist news),BTS partners with Netflix for ARIRANG comeback live show (Times of India),https://timesofindia.indiatimes.com/entertainment/k-pop/music/news/bts-partners-with-netflix-for-historic-global-arirang-comeback-live-show-everything-you-need-to-know/articleshow/128773938.cms,Jet3 Holidays,1001,PMax,9875,293,safe,high,,"The placement is about a K-pop music event, unrelated to travel or any of the advertiser's hard unsafe categories such as aviation incidents, war, or terrorism. There is no content indication of risk categories. Thus, the placement is safe for Jet3 Holidays.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement is about a K-pop music event, unrelated to travel or any of the advertiser's hard unsafe categories such as aviation incidents, war, or terrorism. There is no content indication of risk categories. Thus, the placement is safe for Jet3 Holidays."", ""risk_categories"": []}"
87,K-pop (artist news),"BLACKPINK is better together than apart, and new mini-album 'Deadline' proves it (People)",https://people.com/blackpink-better-together-deadline-mini-album-11915789,Jen & Berry's Ice Cream,1002,Display,5755,293,safe,high,,"The placement URL and title indicate content related to K-pop artist news, specifically about BLACKPINK's new mini-album. There is no indication of any topics related to tobacco, adult themes, extremism, weapons, or divisive political content. This aligns well with the advertiser's family-friendly food brand policy. No categories requiring review or unsafe categorization are evident from the provided information.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement URL and title indicate content related to K-pop artist news, specifically about BLACKPINK's new mini-album. There is no indication of any topics related to tobacco, adult themes, extremism, weapons, or divisive political content. This aligns well with the advertiser's family-friendly food brand policy. No categories requiring review or unsafe categorization are evident from the provided information."", ""risk_categories"": []}"
88,K-pop (artist news),BTS reunites for GQ March 2026 cover and discusses comeback pressure (allkpop),https://www.allkpop.com/article/2026/02/bts-reunites-for-gq-march-2026-cover-opens-up-about-comeback-pressure-and-new-album,Jet3 Holidays,1001,Search,1493,108,safe,high,,"The placement content is about K-pop artist BTS and their comeback pressure, which does not relate to travel risks such as aviation incidents, transport disruption, war, terrorism, or other hazardous topics specified in the advertiser's policy. No unsafe or review category topics are present.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement content is about K-pop artist BTS and their comeback pressure, which does not relate to travel risks such as aviation incidents, transport disruption, war, terrorism, or other hazardous topics specified in the advertiser's policy. No unsafe or review category topics are present."", ""risk_categories"": []}"
89,K-pop (artist news),Kpop Comebacks in 2026: Ultimate guide & schedule (ExploreKoreaNow),https://explorekoreanow.com/kpop-comebacks-in-2026/,Moonbucks Coffee,1003,PMax,7352,43,safe,high,,"The placement is about K-pop comebacks scheduled for 2026, which is general entertainment content with no indication of any hard unsafe or review categories as per the advertiser policy. The topic and title do not suggest any blocked high-risk content, making it suitable for Moonbucks Coffee.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement is about K-pop comebacks scheduled for 2026, which is general entertainment content with no indication of any hard unsafe or review categories as per the advertiser policy. The topic and title do not suggest any blocked high-risk content, making it suitable for Moonbucks Coffee."", ""risk_categories"": []}"
90,K-pop (artist news),"2026 K-pop comeback schedule: BTS, EXO, & BLACKPINK (Melonbeat)",https://melonbeat.com/2026-k-pop-comeback-schedule-bts-exo-blackpink/,Moonbucks Coffee,1003,Shopping,3976,280,safe,high,,"The placement is about K-pop artist news on a shopping channel, unrelated to any high-risk or review categories specified by the advertiser's policy. No unsafe or sensitive content indicated.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement is about K-pop artist news on a shopping channel, unrelated to any high-risk or review categories specified by the advertiser's policy. No unsafe or sensitive content indicated."", ""risk_categories"": []}"
91,Online content moderation (extremism),AI Tools and the Alt-Right: a double-edged sword for P/CVE (GNET),https://gnet-research.org/2025/01/28/ai-tools-and-the-alt-right-a-double-edged-sword-for-p-cve/,Moonbucks Coffee,1003,Paid Social,7119,519,unsafe,high,extremism,"The placement is on a page discussing extremism, specifically related to the alt-right, which is categorized as a hard unsafe category for Moonbucks Coffee. Given the advertiser blocks universal high-risk content including extremism, this placement is unsafe.",,"{""confidence"": ""high"", ""decision"": ""unsafe"", ""missing_evidence"": [], ""rationale"": ""The placement is on a page discussing extremism, specifically related to the alt-right, which is categorized as a hard unsafe category for Moonbucks Coffee. Given the advertiser blocks universal high-risk content including extremism, this placement is unsafe."", ""risk_categories"": [""extremism""]}"
92,Online content moderation (extremism),"The role of AI in radicalisation, recruitment and terrorist propaganda (Frontiers)",https://www.frontiersin.org/journals/political-science/articles/10.3389/fpos.2025.1718396/full,Jet3 Holidays,1001,Shopping,7065,568,unsafe,high,extremism;propaganda_or_disinformation,"The placement is on a page about the role of AI in radicalisation, recruitment, and terrorist propaganda, which directly relates to extremism and propaganda, two hard unsafe categories for the advertiser Jet3 Holidays. Despite the channel being shopping, the content topic makes it unsafe for this travel advertiser given their policy sensitivity to extremism and related content.",,"{""confidence"": ""high"", ""decision"": ""unsafe"", ""missing_evidence"": [], ""rationale"": ""The placement is on a page about the role of AI in radicalisation, recruitment, and terrorist propaganda, which directly relates to extremism and propaganda, two hard unsafe categories for the advertiser Jet3 Holidays. Despite the channel being shopping, the content topic makes it unsafe for this travel advertiser given their policy sensitivity to extremism and related content."", ""risk_categories"": [""extremism"", ""propaganda_or_disinformation""]}"
93,Online content moderation (extremism),Global far-right extremist exploitation of AI and alt-tech (RSIS),https://www.rsis.edu.sg/ctta-newsarticle/global-far-right-extremist-exploitation-of-artificial-intelligence-and-alt-tech-the-cases-of-the-uk-us-australia-and-new-zealand/,Plush Cosmetics,1004,PMax,6409,318,unsafe,high,extremism,"The placement title and topic explicitly reference far-right extremism, which falls under the hard unsafe category for this advertiser. Therefore, the placement is unsafe despite the content seemingly being about moderation of extremist content.",,"{""confidence"": ""high"", ""decision"": ""unsafe"", ""missing_evidence"": [], ""rationale"": ""The placement title and topic explicitly reference far-right extremism, which falls under the hard unsafe category for this advertiser. Therefore, the placement is unsafe despite the content seemingly being about moderation of extremist content."", ""risk_categories"": [""extremism""]}"
94,Online content moderation (extremism),Extremist disinformation networks and narratives during crises (GNET analysis),https://disa.org/extremist-disinformation-networks-and-narratives-during-crises-a-gnet-analysis/,Jen & Berry's Ice Cream,1002,Shopping,3196,280,unsafe,high,extremism,"The placement URL and title indicate content related to extremist disinformation networks, which falls directly under the 'extremism' category. Extremism is listed as a hard unsafe category for this advertiser, making the placement unsafe.",,"{""confidence"": ""high"", ""decision"": ""unsafe"", ""missing_evidence"": [], ""rationale"": ""The placement URL and title indicate content related to extremist disinformation networks, which falls directly under the 'extremism' category. Extremism is listed as a hard unsafe category for this advertiser, making the placement unsafe."", ""risk_categories"": [""extremism""]}"
95,Online content moderation (extremism),GNET – Global Network on Extremism and Technology (home),https://gnet-research.org/,Jet3 Holidays,1001,Display,5823,331,review,high,extremism,"The placement is on a site focused on extremism (GNET – Global Network on Extremism and Technology), which falls under the advertiser's hard unsafe categories. However, since the site aims at research and moderation of extremism rather than promoting it, the placement is sensitive but not clearly unsafe. Given the advertiser's sensitivity to extremism-related content, a review decision is appropriate to ensure brand safety.",body content details;advertisement context on page,"{""confidence"": ""high"", ""decision"": ""review"", ""missing_evidence"": [""body content details"", ""advertisement context on page""], ""rationale"": ""The placement is on a site focused on extremism (GNET \u2013 Global Network on Extremism and Technology), which falls under the advertiser's hard unsafe categories. However, since the site aims at research and moderation of extremism rather than promoting it, the placement is sensitive but not clearly unsafe. Given the advertiser's sensitivity to extremism-related content, a review decision is appropriate to ensure brand safety."", ""risk_categories"": [""extremism""]}"
96,Aviation safety explainers,"Why Do Airplanes Crash? Main Causes, Recent Trends, and Safety Lessons (RESQ)",https://resq.com/why-do-airplanes-crash/,Jen & Berry's Ice Cream,1002,Shopping,8557,98,safe,high,,"The placement is on a page titled 'Why Do Airplanes Crash? Main Causes, Recent Trends, and Safety Lessons (RESQ)' focused on aviation safety explaining causes and safety lessons. This content is informational and does not relate to any hard unsafe categories such as tobacco, adult themes, extremism, weapons, or divisive political content. The channel type is Shopping, which is unrelated but does not introduce risk. No signals suggest any policy conflict.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement is on a page titled 'Why Do Airplanes Crash? Main Causes, Recent Trends, and Safety Lessons (RESQ)' focused on aviation safety explaining causes and safety lessons. This content is informational and does not relate to any hard unsafe categories such as tobacco, adult themes, extremism, weapons, or divisive political content. The channel type is Shopping, which is unrelated but does not introduce risk. No signals suggest any policy conflict."", ""risk_categories"": []}"
97,Aviation safety explainers,Why modern planes still crash: the hidden chain of errors (Interesting Engineering),https://interestingengineering.com/transportation/why-modern-planes-still-crash,Plush Cosmetics,1004,Search,9591,20,review,high,aviation_incident,"The placement content discusses modern plane crashes and aviation safety, which falls under the 'aviation_incident' review category. Given Plush Cosmetics' sensitivity to controversial topics and wellness-related content, a review is warranted to confirm this placement aligns with brand safety requirements.",,"{""confidence"": ""high"", ""decision"": ""review"", ""missing_evidence"": [], ""rationale"": ""The placement content discusses modern plane crashes and aviation safety, which falls under the 'aviation_incident' review category. Given Plush Cosmetics' sensitivity to controversial topics and wellness-related content, a review is warranted to confirm this placement aligns with brand safety requirements."", ""risk_categories"": [""aviation_incident""]}"
98,Aviation safety explainers,NTSB Investigation Reports overview (NTSB),https://www.ntsb.gov/investigations/AccidentReports/Pages/Reports.aspx,Moonbucks Coffee,1003,Search,3822,15,review,high,aviation_incident,"The placement is on a page related to NTSB investigation reports focusing on aviation safety, which falls under 'aviation_incident' review category. Given that the advertiser Moonbucks Coffee allows neutral news but blocks high-risk content, and this category is flagged for review per policy, the decision is to review the placement for suitability.",,"{""confidence"": ""high"", ""decision"": ""review"", ""missing_evidence"": [], ""rationale"": ""The placement is on a page related to NTSB investigation reports focusing on aviation safety, which falls under 'aviation_incident' review category. Given that the advertiser Moonbucks Coffee allows neutral news but blocks high-risk content, and this category is flagged for review per policy, the decision is to review the placement for suitability."", ""risk_categories"": [""aviation_incident""]}"
99,Aviation safety explainers,Aviation Safety Network: investigation reports index,https://aviation-safety.net/investigation/,Jen & Berry's Ice Cream,1002,Shopping,8296,581,safe,high,,"The placement URL and title relate to aviation safety investigation reports, which is an informative and neutral subject unrelated to the advertiser's hard unsafe categories or sensitive topics. There is no indication of adult themes, tobacco/nicotine, extremism, weapons, or divisive political content. The channel type is shopping, which is unrelated but does not introduce risk. Thus, this placement is safe for a family-friendly food brand.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement URL and title relate to aviation safety investigation reports, which is an informative and neutral subject unrelated to the advertiser's hard unsafe categories or sensitive topics. There is no indication of adult themes, tobacco/nicotine, extremism, weapons, or divisive political content. The channel type is shopping, which is unrelated but does not introduce risk. Thus, this placement is safe for a family-friendly food brand."", ""risk_categories"": []}"
100,Aviation safety explainers,Air Accidents Investigation Branch reports search (GOV.UK),https://www.gov.uk/aaib-reports,Plush Cosmetics,1004,Display,5794,79,review,high,aviation_incident,"The placement is on a government site providing aviation accident investigation reports, which falls under the aviation_incident review category. While it does not conflict with Plush Cosmetics' hard unsafe categories, its nature warrants a cautious review according to the advertiser's policy guidelines.",,"{""confidence"": ""high"", ""decision"": ""review"", ""missing_evidence"": [], ""rationale"": ""The placement is on a government site providing aviation accident investigation reports, which falls under the aviation_incident review category. While it does not conflict with Plush Cosmetics' hard unsafe categories, its nature warrants a cautious review according to the advertiser's policy guidelines."", ""risk_categories"": [""aviation_incident""]}"
101,Cooking (one-pot pasta),Magic one pot pasta recipes | olivemagazine,https://www.olivemagazine.com/recipes/collection/best-ever-one-pot-pasta-recipe-collection/,Jen & Berry's Ice Cream,1002,Shopping,1836,150,safe,high,,"The placement is on a cooking recipe page focused on one-pot pasta, which aligns with a family-friendly food context. There are no indications or evidence of content related to tobacco, adult themes, extremism, weapons, or divisive political content. The presence of some invalid clicks does not impact content safety for the brand's policy.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement is on a cooking recipe page focused on one-pot pasta, which aligns with a family-friendly food context. There are no indications or evidence of content related to tobacco, adult themes, extremism, weapons, or divisive political content. The presence of some invalid clicks does not impact content safety for the brand's policy."", ""risk_categories"": []}"
102,Cooking (one-pot pasta),One pot pasta recipes - RecipeTin Eats,https://www.recipetineats.com/category/pasta-recipes/one-pot-pasta-recipes/,Jen & Berry's Ice Cream,1002,Shopping,6194,414,safe,high,,"The placement is on a family-friendly recipe site with content about one-pot pasta recipes, which aligns well with the advertiser's family-friendly food brand policy. There is no evidence of any hard unsafe or review risk categories such as tobacco, extremism, or adult themes on this page. The channel type 'Shopping' is appropriate for food-related content and consistent with the advertiser's brand.",,"{""confidence"": ""high"", ""decision"": ""safe"", ""missing_evidence"": [], ""rationale"": ""The placement is on a family-friendly recipe site with content about one-pot pasta recipes, which aligns well with the advertiser's family-friendly food brand policy. There is no evidence of any hard unsafe or review risk categories such as tobacco, extremism, or adult themes on this page. The channel type 'Shopping' is appropriate for food-related content and consistent with the advertiser's brand."", ""risk_categories"": []}"
